                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3538,                 4.0401,                 1.2752,                 0.9815,                0.49231,                 0.4935,                0.39686,                0.95812,                 2.3624,                0.99794,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.2151,                 1.5473,                  1.202,                0.68726,                0.71915,                0.70431,                0.44561,                 1.1406,                 1.4297,                 1.1163,             0.00021456,             0.00021456,             0.00021456
                      3,                 1.1898,                 1.1299,                 1.1361,                0.75551,                0.63987,                 0.6781,                 0.4242,                 1.2069,                 1.1641,                 1.1492,              0.0003268,              0.0003268,              0.0003268
                      4,                  1.111,                0.91543,                 1.0859,                0.44787,                 0.5644,                0.54981,                0.35473,                 1.0977,                 4.7915,                 1.1106,             0.00043672,             0.00043672,             0.00043672
                      5,                 1.1461,                0.86684,                 1.1056,                0.71005,                0.76595,                0.75509,                0.40361,                 1.3689,                 1.4174,                 1.2262,             0.00054434,             0.00054434,             0.00054434
                      6,                 1.1852,                0.81193,                 1.1091,                0.69885,                 0.6449,                0.65463,                0.34585,                  1.363,                 1.9669,                 1.2791,             0.00064964,             0.00064964,             0.00064964
                      7,                 1.1548,                0.81179,                 1.1511,                0.70461,                0.54182,                0.56219,                 0.2699,                 1.6847,                  1.791,                 2.3447,             0.00075263,             0.00075263,             0.00075263
                      8,                 1.1304,                0.77945,                 1.0871,                0.74283,                0.56813,                0.62869,                0.35965,                 1.4104,                 1.7111,                 1.3596,             0.00085331,             0.00085331,             0.00085331
                      9,                 1.2349,                0.95176,                  1.141,                0.71886,                0.60623,                0.65204,                0.36618,                  1.495,                 2.3528,                 1.4738,             0.00095168,             0.00095168,             0.00095168
                     10,                 1.1639,                0.76523,                 1.1302,                0.56583,                 0.4645,                0.49545,                0.22121,                 2.1312,                 2.9923,                 2.1496,              0.0010477,              0.0010477,              0.0010477
                     11,                 1.2255,                0.92335,                 1.1677,                0.80697,                0.41981,                0.61848,                0.33705,                 1.4937,                 2.5817,                 1.4857,              0.0011415,              0.0011415,              0.0011415
                     12,                 1.1773,                0.82494,                  1.093,                0.50466,                0.40153,                0.47133,                0.18375,                  2.015,                 4.2603,                  1.962,              0.0012329,              0.0012329,              0.0012329
                     13,                 1.2161,                0.84137,                 1.1165,                  0.624,                0.47598,                0.52981,                0.21947,                 1.7757,                 4.2113,                 1.7264,              0.0013221,              0.0013221,              0.0013221
                     14,                 1.2208,                0.85453,                 1.1354,                0.40171,                0.54723,                0.24841,                0.09232,                 1.8473,                 46.905,                 1.9828,              0.0014089,              0.0014089,              0.0014089
                     15,                 1.1776,                0.82142,                 1.1127,                0.00242,                0.07661,                0.00128,                0.00028,                 3.9423,                    inf,                 5.2091,               0.001436,               0.001436,               0.001436
                     16,                  1.164,                0.74374,                 1.1219,                0.00242,                0.07661,                0.00128,                0.00028,                 4.8911,                    inf,                 163.32,               0.001436,               0.001436,               0.001436
                     17,                 1.2004,                0.76082,                 1.1257,                0.00242,                0.07661,                0.00128,                0.00028,                 4.8852,                    inf,                  171.5,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.1431,                0.74485,                 1.0657,                0.00242,                0.07661,                0.00128,                0.00028,                 3.4943,                 25.656,                 14.822,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.2378,                0.83251,                 1.1593,                0.75833,                0.43611,                0.54506,                0.24308,                 1.9748,                  2.468,                 1.7154,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.2192,                 0.8528,                 1.1156,                0.45271,                0.82804,                0.84326,                0.40508,                  1.549,                 3.8135,                 1.6056,              0.0013699,              0.0013699,              0.0013699
